Supplementary Table S1: Analytical Data of Roots after 6h or 24h dexamethasone treatment (and subsequent exudation for 24h into LC/MS-grade water).																																												
																																												
	t-test		Fold Change		Raw data																																							
	6h Dex-24h H2O	24h Dex-24h H2O	DD/KR 6h Dex-24h H2O	DD/KR 24h Dex-24h H2O	Exp1_KR51-Rep1_6hDex.24hH2O	Exp1_KR51-Rep2_6hDex.24hH2O	Exp2_KR51-Rep1_6hDex.24hH2O	Exp2_KR51-Rep2_6hDex.24hH2O	Exp3_KR51-Rep1_6hDex.24hH2O	Exp3_KR51-Rep2_6hDex.24hH2O	Exp3_KR51-Rep3_6hDex.24hH2O	Exp4_KR51-Rep1_6hDex.24hH2O	Exp4_KR51-Rep2_6hDex.24hH2O	Exp4_KR51-Rep3_6hDex.24hH2O	Exp1_DD55-Rep1_6hDex.24hH2O	Exp1_DD55-Rep2_6hDex.24hH2O	Exp2_DD55-Rep1_6hDex.24hH2O	Exp2_DD55-Rep2_6hDex.24hH2O	Exp3_DD55-Rep1_6hDex.24hH2O	Exp3_DD55-Rep2_6hDex.24hH2O	Exp3_DD55-Rep3_6hDex.24hH2O	Exp4_DD55-Rep1_6hDex.24hH2O	Exp4_DD55-Rep2_6hDex.24hH2O	Exp4_DD55-Rep3_6hDex.24hH2O	Exp1_KR51-Rep1_24hDex.24hH2O	Exp1_KR51-Rep2_24hDex.24hH2O	Exp2_KR51-Rep1_24hDex.24hH2O	Exp2_KR51-Rep2_24hDex.24hH2O	Exp3_KR51-Rep1_24hDex.24hH2O	Exp3_KR51-Rep2_24hDex.24hH2O	Exp3_KR51-Rep3_24hDex.24hH2O	Exp4_KR51-Rep1_24hDex.24hH2O	Exp4_KR51-Rep2_24hDex.24hH2O	Exp4_KR51-Rep3_24hDex.24hH2O	Exp1_DD55-Rep1_24hDex.24hH2O	Exp1_DD55-Rep2_24hDex.24hH2O	Exp2_DD55-Rep1_24hDex.24hH2O	Exp2_DD55-Rep2_24hDex.24hH2O	Exp3_DD55-Rep1_24hDex.24hH2O	Exp3_DD55-Rep2_24hDex.24hH2O	Exp3_DD55-Rep3_24hDex.24hH2O	Exp4_DD55-Rep1_24hDex.24hH2O	Exp4_DD55-Rep2_24hDex.24hH2O	Exp4_DD55-Rep3_24hDex.24hH2O
1Me-I3COOH	5,26E-01	4,07E-01	1,0	0,7	33639,79591	19224,6012	30099,14038	32145,67105	66906,23608	79789,584	69069,4812	94897,66765	100537,584	75461,568	49965,89483	55451,6592	81861,55191	10481,9939	66347,28144	68783,568	49622,01868	130891,0643	89063,69961	87410,7248	63519,33576	50556,56084	67121,26907	59681,40517	69276,48	56098,56	108706,5877	110096,448	88299,8559	57760,047	71934,21746	112124,2129	88180,488	43281,14451	46336,416	48972,66337	44393,19706	25423,824	44340,576	107084,5226
1MeO-I3MNH2	0,00E+00	0,00E+00	0,6	0,4	39293,7432	51414,48282	50789,82169	50553,4104	207007,9839	169088,4202	157132,9923	188837,3142	185088,8747	204994,0485	32279,136	28050,57281	17927,01666	50072,67265	144444,514	159864,498	115871,6861	112446,2139	75237,49507	160663,9108	133618,485	148581,1716	78766,95568	102490,1594	151635,1354	197962,2737	184121,28	221734,464	258332,7267	171160,08	71824,23519	69016,22392	97017,34997	70428,28548	73938,66924	91569,25635	40652,87781	71807,90108	81296,88	27220,72787
1MeOI3M GLS	1,48E-01	1,90E-06	0,7	0,4	1971288,492	2652942,229	1832496,782	1787775,989	5650798,426	4562740,157	4278740,354	5675659,27	5469050,716	5915308,965	1603805,725	1342232,71	221018,3293	2110144,403	4016095,106	4515570,233	4037579,278	3795036,473	2392999,056	4664781,728	6501765,079	7351568,084	2656512,517	4668989,063	4990534,015	6077561,335	5594549,301	5982028,128	6849741,22	5639473,832	3287081,572	1583740,992	3077608,182	2230943,291	2429218,848	2899044,808	1099050,527	2345876,568	2360682,441	605843,5685
2,3-DHBA 3-Xyl	1,60E-01	1,67E-04	0,7	0,5	64871,28348	108833,0946	106731,6725	110261,6453	111176,7134	98420,73936	78174,20539	87489,86342	87976,896	38684,016	85057,72916	62116,10274	119780,2418	111538,6829	85798,272	52030,917	52655,7878	67165,392	45233,71457	45427,536	161622,1741	175327,8208	110415,0916	129677,9022	281380,848	124467,5358	198930,6394	135779,9123	119002,5427	106805,6094	63006,15101	74146,56399	79123,81779	72837,22016	97805,00538	112419,9551	26226,00578	24962,05932	33125,24117	19808,71779
2,5-DHBA Pent	1,07E-02	1,50E-04	0,5	0,2	40908,89131	62987,88346	64926,05689	65435,28107	98628,19068	104071,3431	82539,98781	77420,57338	87983,952	30539,37967	47135,4792	32830,59561	73998,70459	72474,48962	63575,06842	29814,624	29529,696	38789,54805	29398,91611	26959,296	117657,614	126614,7663	96143,10583	89124,6356	402386,3649	233081,4234	338757,6629	212653,056	173578,142	135757,104	37853,94711	34818,29158	34456,38885	50569,35086	36283,21937	61221,28955	11963,35488	12158,88874	16981,44	5509,4659
4MeO-I3CHO	9,68E-01	6,79E-01	0,9	0,8	732,5162526	1580,1664	613,3264615	1200,131856	13516,608	20924,96065	8036,112	13981,632	21298,032	13303,74619	3201,487309	1818,404348	3626,528455	3787,619478	9028,601616	13007,232	10784,96924	13399,10013	13696,71058	24205,06055	2881,229914	3979,446939	2180,89	2925,673143	12939,45715	9331,728	17421,5041	26850,096	18469,248	14220,26305	6646,055791	7630,5755	8345,382273	5858,055548	15781,92	10244,304	7995,456	9513,774707	13666,40006	13592,009
4MeO-I3MNH2	2,87E-01	1,47E-02	0,9	0,4	55629,79904	54723,24294	52177,08348	53479,416	134854,7614	134329,104	147338,84	103305,3203	118862,9366	153769,9844	53043,28611	48739,92697	48635,81383	55447,29716	120060,7773	107652,5952	96863,78904	101196,7221	94483,2	105036,6284	46781,02198	46719,21544	44522,256	44043,14912	115109,3879	143992,926	124982,5413	124421,8204	125439,0493	127081,6873	36868,34831	37340,06376	38370,78395	31997,17461	91795,46112	72424,464	47515,81593	59958,28562	71132,67406	55714,42388
4MeOI3M GLS	1,00E-01	1,07E-03	0,8	0,4	2562874,745	2592123,239	2383666,959	2344255,118	3922092,544	3703473,229	3929501,295	3360600,145	3776793,552	4479119,904	2446092,329	2226028,29	2041436,162	2455885,725	3448372,756	3070179,14	3274948,594	3160869,264	2820427,069	3117235,968	2235283,36	2232936,301	1914389,628	1913294,345	3732173,705	4461904,578	3934505,202	3906031,917	4025357,06	4316224,722	1594276,277	1206368,248	1525622,984	1059827,223	2857408,598	2430620,565	1363436,592	1947324,624	2184932,4	1796186,628
6-(Malonyl-GlcO)-I3CO2H	2,03E-04	3,15E-04	2,2	2,1	56284,3219	49207,925	43912,80518	42944,70787	103006,4771	102115,44	83253,94577	92003,44038	64891,87694	155751,7365	124331,8015	101478,3915	113163,4956	150211,0658	244631,856	220454,64	161862,1452	196843,584	166149,6346	245042,572	45140,4603	49141,74418	45686,025	48725,4	73634,05912	74198,31868	69826,88935	98254,57789	77358,49671	88259,31067	178467,3584	163315,4203	177445,8799	131022,7073	272477,8749	253480,0047	117820,9724	91624,95798	133829,136	81042,79422
