Supplementary Table S2: Analytical Data of Root Exudates collected after 6h as well as 24h dexamethasone treatment (and subsequent exudation for 24h into LC/MS-grade water).																																																
																																																
	t-Test				Fold Change*				Raw Data																																							
	DD/KR, 6h Dex  (Exp1 & 2)	DD/KR, 6h Dex (Exp3 & 4)	DD/KR, 24h Dex (Exp1 & 2)	DD/KR, 24h Dex (Exp3 & 4)	DD/KR, 6h Dex  (Exp1 & 2)	DD/KR, 6h Dex (Exp3 & 4)	DD/KR, 24h Dex (Exp1 & 2)	DD/KR, 24h Dex (Exp3 & 4)	Exp1-KR51-Rep1_24hDex-24hH2O	Exp1-KR51-Rep2_24hDex-24hH2O	Exp1-KR51-Rep3_24hDex-24hH2O	Exp2-KR51-Rep1_24hDex-24hH2O	Exp2-KR51-Rep2_24hDex-24hH2O	Exp2-KR51-Rep3_24hDex-24hH2O	Exp3-KR51-Rep1_24hDex-24hH2O	Exp3-KR51-Rep2_24hDex-24hH2O	Exp4-KR51-Rep1_24hDex-24hH2O	Exp4-KR51-Rep2_24hDex-24hH2O	Exp1-DD55-Rep1_24hDex-24hH2O	Exp1-DD55-Rep2_24hDex-24hH2O	Exp1-DD55-Rep3_24hDex-24hH2O	Exp2-DD55-Rep1_24hDex-24hH2O	Exp2-DD55-Rep2_24hDex-24hH2O	Exp2-DD55-Rep3_24hDex-24hH2O	Exp3-DD55-Rep1_24hDex-24hH2O	Exp3-DD55-Rep2_24hDex-24hH2O	Exp4-DD55-Rep1_24hDex-24hH2O	Exp4-DD55-Rep2_24hDex-24hH2O	Exp1-KR51-Rep1_6hDex-24hH2O	Exp1-KR51-Rep2_6hDex-24hH2O	Exp1-KR51-Rep3_6hDex-24hH2O	Exp2-KR51-Rep1_6hDex-24hH2O	Exp2-KR51-Rep2_6hDex-24hH2O	Exp2-KR51-Rep3_6hDex-24hH2O	Exp3-KR51-Rep1_6hDex-24hH2O	Exp3-KR51-Rep2_6hDex-24hH2O	Exp4-KR51-Rep1_6hDex-24hH2O	Exp4-KR51-Rep2_6hDex-24hH2O	Exp1-DD55-Rep1_6hDex-24hH2O	Exp1-DD55-Rep2_6hDex-24hH2O	Exp1-DD55-Rep3_6hDex-24hH2O	Exp2-DD55-Rep1_6hDex-24hH2O	Exp2-DD55-Rep2_6hDex-24hH2O	Exp2-DD55-Rep3_6hDex-24hH2O	Exp3-DD55-Rep1_6hDex-24hH2O	Exp3-DD55-Rep2_6hDex-24hH2O	Exp4-DD55-Rep1_6hDex-24hH2O	Exp4-DD55-Rep2_6hDex-24hH2O
1MeO-I3MNH2	3,95E-03	8,66E-01	3,54E-04	9,87E-05	11,2	4,0	15,4	4,7	8204	71167	30413	23875	24599	32979	109863	85201	52713	79873	410891	51054	330534	434864	448816	543243	316666	470840	365294	415986	13262	31179	14519	132309	15524	70229	67218	71182	104456	98558	93410	510368	86953	678636	132329	391823	596	661450	271616	403474
2,3 DHBA-3-O-Xyl	5,07E-01	6,17E-01	3,55E-02	2,85E-03	1,2	0,8	0,6	0,4	148039	56663	119165	50107	34481	19918	78308	81799	66763	75706	30624	33605	18036	31326	28685	8341	22247	50788	25153	30245	13345	12784	13804	21963	13856	4715	10872	23319	33988	39761	22120	8079	15901	15874	24291	9585	17355	12715	26852	27937
2,5 DHBA-Pent	1,14E-01	8,21E-01	2,77E-01	5,54E-01	1,6	0,7	1,8	0,9	186690	55644	127433	53928	35647	19549	79318	86932	66922	80984	107131	96056	78477	118620	99133	59214	58808	98523	65590	72019	19966	19630	23403	39167	25155	31606	16190	54270	61351	61830	39115	21987	41324	36948	46547	25525	34195	27375	51628	49135
2`-Deoxyadenosine	2,19E-01	1,48E-03	4,56E-03	3,22E-04	2,6	2,2	2,4	2,8	52483	6562	41941	40794	32798	23910	29787	38483	33844	44507	126938	131292	68558	68926	100622	79537	116247	105700	95044	72953	30235	27675	42111	48542	35220	26856	31030	43932	29754	34575	104832	8385	94884	76399	100912	62720	82623	84182	59311	60200
3-Carboxy-1 2 3 4-tetrahydro-beta-carboline	1,07E-01	3,22E-01	1,14E-03	7,29E-03	3,3	1,2	5,2	1,2	7461	22424	7367	3910	3449	1725	37443	36738	35580	32953	26759	21945	23043	58642	60721	31640	42380	49371	39912	46905	3729	8338	1872	43277	11170	30541	38199	40861	37821	35990	9261	23885	72539	41097	14877	41502	32532	43431	47101	47664
4HO-I3CHO	6,75E-01	4,68E-02	2,45E-01	9,44E-01	1,1	1,3	1,1	1,1	207431	237294	280758	161058	147720	205986	185643	96135	106509	93861	220687	236881	174610	304993	267997	227897	95424	112841	117594	133806	128955	109392	170446	209424	225201	178041	165100	128016	163213	111666	174222	110765	220437	215520	225435	148551	164356	171471	209533	241308
4MeO-I3MNH2	9,85E-02	6,21E-01	2,42E-02	3,61E-01	3,0	2,0	5,7	1,6	826	14883	6315	1993	2367	1623	14051	6010	4574	3895	13194	3383	10030	11837	14511	18093	5695	7844	8913	15090	2315	4992	1376	17707	1613	11680	6101	5786	10042	4344	8213	21736	5398	20352	5003	14068	713	10810	12793	16279
6-(Malonyl-GlcO)-I3CO2H	2,22E-03	3,27E-02	1,99E-03	4,34E-04	3,0	1,6	5,4	1,9	61807	28585	63170	28419	18045	4381	94632	83465	85793	94959	160719	98863	95586	208796	229974	149528	156790	147649	194184	219077	22228	29979	8256	52129	35879	30516	47963	44897	70907	61063	100148	52395	70727	85975	174099	97107	73896	88437	87799	170301
7-MeSO-Heptyl-CN	5,56E-06	3,03E-04	6,27E-05	4,06E-05	6,5	3,3	4,1	2,3	63070	34411	69392	41096	36033	19406	65918	54791	46747	63127	155876	156984	126882	162865	176859	120860	128213	132738	139344	132767	21990	30159	40218	50758	28822	13729	43443	48194	72197	84632	191357	247505	196194	147710	193934	125931	204757	198215	187060	200566
