Additional file 19. Pathway activities calculated based on metabolome data.																											
	T0_1	T0_2	T0_3	T0_4	T0_5	T0_6	T1_1	T1_2	T1_3	T1_4	T1_5	T1_6	T8_1	T8_2	T8_3	T8_4	T8_5	T8_6	T0_MEAN	T1_MEAN	T8_MEAN	T0_SD	T1_SD	T8_SD	Pvalue_T1:T0	Pvalue_T8:T0	Pvalue_T8:T1
2-Oxocarboxylic acid metabolism	213,00 	152,00 	191,00 	210,00 	152,00 	164,00 	217,00 	176,00 	179,00 	211,00 	182,00 	193,00 	176,00 	173,00 	217,00 	201,00 	175,00 	196,00 	180,33 	193,00 	189,67 	28,05 	17,36 	17,86 	0,34 	0,46 	0,74 
ABC transporters	2097,86 	1899,86 	1857,43 	2079,00 	1876,29 	2253,43 	2376,00 	2394,86 	2423,14 	2371,29 	2409,00 	2442,00 	2286,43 	2239,29 	2229,86 	2159,14 	2121,43 	2314,71 	2010,64 	2402,71 	2225,14 	158,13 	27,43 	73,64 	0,00 	0,02 	0,00 
Alanine, aspartate and glutamate metabolism	669,00 	594,00 	525,00 	489,00 	435,00 	357,00 	474,00 	339,00 	294,00 	279,00 	315,00 	252,00 	342,00 	309,00 	381,00 	303,00 	306,00 	402,00 	511,50 	325,50 	340,50 	111,38 	78,61 	42,46 	0,01 	0,01 	0,57 
Amino sugar and nucleotide sugar metabolism	1422,67 	3556,67 	743,67 	1616,67 	937,67 	1940,00 	1843,00 	2489,67 	2457,33 	2263,33 	2425,00 	2166,33 	1422,67 	937,67 	776,00 	614,33 	937,67 	776,00 	1702,89 	2274,11 	910,72 	1008,40 	245,11 	278,45 	0,13 	0,07 	0,00 
Aminoacyl-tRNA biosynthesis	1404,50 	1154,64 	972,93 	1116,79 	950,21 	1082,71 	1150,86 	1116,79 	1139,50 	1060,00 	1154,64 	1222,79 	1215,21 	1139,50 	1166,00 	1090,29 	1154,64 	1290,93 	1113,63 	1140,76 	1176,10 	163,56 	53,14 	69,26 	0,62 	0,36 	0,35 
Arginine and proline metabolism	2270,00 	1670,00 	1640,00 	2150,00 	1660,00 	1950,00 	2030,00 	1870,00 	1920,00 	1840,00 	2050,00 	1760,00 	1980,00 	1770,00 	2130,00 	1850,00 	1890,00 	2180,00 	1890,00 	1911,67 	1966,67 	275,46 	112,32 	161,58 	0,78 	0,52 	0,53 
Ascorbate and aldarate metabolism	485,67 	1519,67 	1331,67 	1002,67 	1527,50 	548,33 	532,67 	532,67 	893,00 	501,33 	1206,33 	736,33 	987,00 	454,33 	987,00 	501,33 	940,00 	485,67 	1069,25 	733,72 	725,89 	468,63 	276,98 	269,84 	0,22 	0,21 	0,93 
Biosynthesis of secondary metabolites	579,00 	580,00 	482,00 	535,00 	461,00 	503,00 	595,00 	603,00 	567,00 	578,00 	553,00 	555,00 	571,00 	537,00 	537,00 	548,00 	547,00 	543,00 	523,33 	575,17 	547,17 	49,91 	20,69 	12,59 	0,05 	0,28 	0,02 
Biotin metabolism	392,00 	756,00 	756,00 	980,00 	168,00 	616,00 	56,00 	168,00 	336,00 	112,00 	168,00 	420,00 	448,00 	280,00 	308,00 	336,00 	448,00 	560,00 	611,33 	210,00 	396,67 	290,67 	139,16 	106,87 	0,02 	0,29 	0,04 
Butanoate metabolism	840,00 	752,00 	1024,00 	688,00 	920,00 	872,00 	976,00 	728,00 	528,00 	616,00 	608,00 	464,00 	616,00 	680,00 	680,00 	672,00 	656,00 	792,00 	849,33 	653,33 	682,67 	119,67 	181,49 	58,72 	0,05 	0,01 	0,55 
C5-Branched dibasic acid metabolism	1088,00 	832,00 	608,00 	800,00 	512,00 	256,00 	672,00 	448,00 	512,00 	544,00 	640,00 	384,00 	256,00 	96,00 	384,00 	192,00 	256,00 	256,00 	682,67 	533,33 	240,00 	288,83 	110,23 	94,39 	0,47 	0,00 	0,00 
