Geneid	WT1	WT2	dFNR1	dFNR2
b0001	70	98	72	63
b0002	23421	33092	32156	20749
b0003	7538	10350	9596	6490
b0004	8263	11927	11042	7145
b0005	121	156	104	62
b0006	177	224	287	209
b0007	138	116	68	50
b0008	2964	3971	4211	2823
b0009	213	205	196	128
b0010	184	193	130	74
b0011	44	13	13	10
b0013	18	6	7	3
b0014	10758	14747	15432	10243
b0015	1343	1667	1549	1045
b0016	261	326	252	141
b4412	0	0	0	0
b0018	7	0	2	1
b4413	1	0	1	1
b0019	714	944	1093	704
b0020	212	260	180	152
b0021	55	48	29	23
b0022	12	7	5	6
b0023	1319	1549	1193	690
b0024	20	13	9	7
b0025	1055	1470	1114	725
b0026	10702	15035	11224	7401
b0027	581	710	613	363
b0028	479	539	523	348
b0029	635	791	824	508
b0030	70	62	65	42
b0031	1051	1469	3077	2068
b0032	2738	3540	2684	1830
b0033	6558	8270	7041	4762
b0034	436	555	112	81
b0035	161	164	37	33
b0036	48	10	9	7
b0037	98	75	53	43
b0038	90	98	49	41
b0039	162	161	113	86
b0040	68	20	14	12
b0041	38	8	5	5
b0042	61	14	11	19
b0043	55	14	8	19
b0044	27	8	2	1
b0045	66	9	12	3
b0046	79	106	85	70
b0047	331	304	303	219
b0048	168	168	173	106
b0049	327	346	374	211
b0050	194	276	248	172
b0051	704	916	910	532
b0052	619	720	693	437
b0053	2288	2843	2592	1683
b0054	3051	3842	3495	2194
b0055	352	413	275	202
b4659	97	108	106	58
b0058	122	124	133	92
b0059	718	766	900	606
b0060	249	252	230	146
b0061	55	15	9	11
b0062	132	66	63	40
b0063	125	19	28	26
b0064	129	138	168	98
b0065	116	106	133	97
b0066	161	133	135	100
b0067	394	369	386	236
b0068	418	558	535	370
b0069	248	253	195	100
b4577	2	0	0	0
b4662	0	0	0	0
b0070	224	260	163	96
b0071	2718	3581	2108	1387
b0072	6967	9444	5332	3815
b0073	6839	8958	4970	3296
b0074	6723	9047	5651	4161
b0075	19	35	14	9
b0076	36	24	28	24
b0077	2654	3341	2948	1777
b0078	784	910	774	467
b0080	1162	1362	1226	795
b0081	633	781	699	445
b0082	746	976	747	559
b0083	183	252	208	132
b0084	500	631	483	367
b0085	1252	1612	1340	890
b0086	770	982	841	569
b0087	678	885	774	526
b0088	1101	1421	1155	789
b0089	716	838	729	459
b0090	567	687	584	368
b0091	991	1183	1037	679
b0092	707	945	676	464
b0093	684	823	663	425
b0094	1667	2192	1785	1219
b0095	5800	7788	6428	4107
b0096	4714	5978	4974	3311
b0097	458	588	525	321
b0098	3009	4210	3934	2514
b0099	51	64	59	30
b0101	75	112	76	53
b0102	213	326	314	229
b0103	238	280	266	169
b0104	1272	1732	2165	1413
b0106	68	44	55	33
b0107	79	63	36	43
b0108	28	6	5	4
b0109	382	417	351	231
b0110	162	183	197	139
b0111	289	352	355	199
b0112	2809	3736	2468	1410
b0113	221	259	978	523
b0114	7420	11094	34221	22794
b0115	3687	5120	16299	10762
b0116	2678	3611	10921	6801
b0117	154	79	73	53
b0118	1797	2212	4439	2688
b0119	182	278	199	124
b0120	540	712	1040	605
b0121	762	979	1394	956
b0122	92	117	82	39
b0123	338	416	590	405
b0124	225	211	612	340
b0125	822	1034	871	548
b0126	652	833	1200	806
b0127	347	425	423	248
b0128	307	315	320	197
b0129	53	44	36	22
b0130	174	211	149	109
b0131	777	1125	896	608
b0132	156	153	128	68
b0133	1535	2092	2598	1536
b0134	1873	2456	2761	1755
b0135	28	5	5	8
b0136	11	7	1	2
b0137	14	7	7	2
b0138	16	8	3	3
b0139	78	29	18	8
b0140	17	3	6	2
b0141	11	4	2	0
b0142	99	134	75	45
b0143	2016	2454	2087	1375
b0144	90	87	83	56
b0145	1427	1634	1586	1088
b0146	292	337	400	266
b0147	95	79	96	45
b0148	516	629	535	325
b0149	1046	1267	1085	774
b0150	232	246	198	123
b0151	79	40	48	33
b0152	53	42	36	23
b0153	196	133	107	104
b0154	1076	1364	1188	861
b0155	382	452	353	248
b0156	429	631	357	207
b0157	89	91	56	41
b0158	110	124	112	98
