	2 folds for RNA / 1.5 folds for protein up-regulated															
	1.5folds for RNA / 1.33 folds for protein up-regulated															
	1.2 folds for protein up-regulated															
	2 folds for RNA / 1.5 folds for protein down-regulated															
	1.5folds for RNA / 1.33 folds for protein down-regulated															
	1.2 folds for protein down-regulated															
Additional file 2. Transcriptional and translational profiles of chloroplast-encoded genes																
									Average	SE	Average	SE	Average	SE		
GeneID	T0 (RPKM)	T1 (RPKM)	T8 (RPKM)	T1:T0 (FC)	T8:T0 (FC)	T8:T1 (FC)	Unused	Peptides(95%)	T1:T0 	T1:T0	T8:T1 	T8:T1	T8:T0 	T8:T0	Protein	Gene Model Description
ATCG00020.1	588649 	552912 	503717 	0,94 	0,86 	0,91 	42,5 	43 	0,64 	0,17 	0,55 	0,19 	0,29 	0,07 	psbA	Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core
ATCG00040.1	3422 	2755 	3582 	0,80 	1,05 	1,30 	-	-	-	-	-	-	-	-	matK	Encodes a maturase located in the trnK intron in the chloroplast genome.
ATCG00050.1	296 	278 	306 	0,94 	1,03 	1,10 	-	-	-	-	-	-	-	-	rps16	Homologous to the bacterial ribosomal protein S16
ATCG00065.1	184 	229 	290 	1,24 	1,58 	1,27 	-	-	-	-	-	-	-	-	rps12a	Chloroplast gene encoding ribosomal protein s12. The gene is located in three distinct loci on the chloroplast genome and is transpliced to make one transcript.
ATCG00070.1	10621 	11470 	11611 	1,08 	1,09 	1,01 	-	-	-	-	-	-	-	-	psbK	PSII K protein
ATCG00080.1	1844 	1882 	2249 	1,02 	1,22 	1,20 	-	-	-	-	-	-	-	-	psbI	PSII I protein
ATCG00120.1	5261 	6456 	6885 	1,23 	1,31 	1,07 	98,4 	97 	0,97 	0,01 	1,02 	0,01 	1,00 	0,01 	atpA	Encodes the ATPase alpha subunit, which is a subunit of ATP synthase and part of the CF1 portion which catalyzes the conversion of ADP to ATP using the proton motive force. This complex is located in the thylakoid membrane of the chloroplast.
ATCG00130.1	6602 	7308 	9004 	1,11 	1,36 	1,23 	23,4 	17 	0,98 	0,21 	0,79 	0,18 	0,78 	0,21 	atpF	ATPase F subunit.
ATCG00140.1	9592 	10014 	10848 	1,04 	1,13 	1,08 	-	-	-	-	-	-	-	-	atpH	ATPase III subunit
ATCG00150.1	3413 	3715 	4169 	1,09 	1,22 	1,12 	1,4 	3 	0,64 	0,11 	1,10 	0,22 	0,64 	0,07 	atpI	Encodes a subunit of ATPase complex CF0, which is a proton channel that supplies the proton motive force to drive ATP synthesis by CF1 portion of the complex.
ATCG00160.1	173 	216 	214 	1,25 	1,24 	0,99 	15,8 	8 	0,80 	0,06 	1,40 	0,26 	1,09 	0,20 	rps2	Chloroplast ribosomal protein S2
ATCG00170.1	119 	137 	131 	1,15 	1,10 	0,95 	24,4 	16 	0,99 	0,00 	1,00 	0,01 	1,00 	0,01 	rpoC2	RNA polymerase beta' subunit-2
ATCG00180.1	301 	377 	359 	1,25 	1,19 	0,95 	8,8 	8 	1,05 	0,07 	0,87 	0,04 	0,90 	0,08 	rpoC1	RNA polymerase beta' subunit-1
