	1.5 folds up-regulated																						
	1.33 folds up-regulated																						
	1.2 folds up-regulated																						
	1.5 folds down-regulated																						
	1.33 folds down-regulated																						
	1.2 folds down-regulated																						
Additional file 10. Proteomics data of nuclear-encoded proteins																							
Gene Model Name	N	Unused	Peptides(95%)	Average(T1:T0)	SE(T1:T0)	Average(T8:T0)	SE(T8:T0)	Average(T8:T1)	SE(T8:T1)	114:113	118:113	114:117	118:117	115:113	119:113	115:117	119:117	115:114	119:114	115:118	119:118	Primary Gene Symbol	Gene Model Description
AT1G01080.2	877	10,32	7	1,36 	0,07 	1,33 	0,06 	0,96 	0,01 	1,22 	1,26 	1,45 	1,50 	1,21 	1,24 	1,38 	1,47 	0,98 	0,98 	0,95 	0,94 		"RNA-binding (RRM/RBD/RNP motifs) family protein; FUNCTIONS IN: RNA binding, nucleotide binding, nucleic acid binding; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: RNA recognition motif, RNP-1 (InterPro:IPR000504), Nucleotide-binding, alpha-beta plait (InterPro:IPR012677); BEST Arabidopsis thaliana protein match is: RNA-binding (RRM/RBD/RNP motifs) family protein (TAIR:AT1G60000.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink)."
AT1G01090.1	402	19,64	10	0,70 	0,12 	0,81 	0,17 	1,14 	0,18 	0,60 	0,44 	1,02 	0,73 	0,47 	0,76 	0,74 	1,26 	0,74 	1,20 	1,02 	1,61 	PYRUVATE DEHYDROGENASE E1 ALPHA (PDH-E1 ALPHA)	pyruvate dehydrogenase E1 alpha subunit
AT1G01100.4	1291	6,33	4	1,17 	0,22 	1,31 	0,44 	1,27 	0,50 	1,54 	0,76 	1,56 	0,82 	0,56 	2,07 	0,54 	2,07 	0,37 	1,36 	0,74 	2,63 		"60S acidic ribosomal protein family; FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translational elongation; LOCATED IN: cytosol, cytosolic ribosome, ribosome, nucleus, plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein 60S (InterPro:IPR001813); BEST Arabidopsis thaliana protein match is: 60S acidic ribosomal protein family (TAIR:AT5G47700.2); Has 2175 Blast hits to 2175 proteins in 383 species: Archae - 76; Bacteria - 0; Metazoa - 858; Fungi - 474; Plants - 451; Viruses - 0; Other Eukaryotes - 316 (source: NCBI BLink)."
AT1G01300.1	1824	3,81	2	1,77 	0,38 	1,35 	0,25 	0,78 	0,07 	2,07 	2,70 	1,06 	1,26 	1,98 	1,53 	1,04 	0,85 	0,98 	0,75 	0,75 	0,64 		"Eukaryotic aspartyl protease family protein; FUNCTIONS IN: aspartic-type endopeptidase activity; INVOLVED IN: proteolysis, response to karrikin; LOCATED IN: membrane, plant-type cell wall; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Peptidase aspartic (InterPro:IPR021109), Peptidase aspartic, catalytic (InterPro:IPR009007), Peptidase A1 (InterPro:IPR001461); BEST Arabidopsis thaliana protein match is: Eukaryotic aspartyl protease family protein (TAIR:AT3G61820.1); Has 3898 Blast hits to 3871 proteins in 332 species: Archae - 0; Bacteria - 0; Metazoa - 1165; Fungi - 579; Plants - 1953; Viruses - 0; Other Eukaryotes - 201 (source: NCBI BLink)."
AT1G01320.2	109	41,54	28	1,08 	0,06 	1,45 	0,12 	1,35 	0,10 	1,20 	1,16 	0,99 	0,95 	1,75 	1,45 	1,43 	1,16 	1,51 	1,16 	1,54 	1,20 		"Tetratricopeptide repeat (TPR)-like superfamily protein; FUNCTIONS IN: binding; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Tetratricopeptide-like helical (InterPro:IPR011990), Tetratricopeptide repeat-containing (InterPro:IPR013026), Tetratricopeptide repeat (InterPro:IPR019734); BEST Arabidopsis thaliana protein match is: Tetratricopeptide repeat (TPR)-like superfamily protein (TAIR:AT4G28080.1)."
AT1G01620.1	2175	2,3	9	0,68 	0,02 	0,62 	0,02 	0,91 	0,03 	0,66 	0,74 	0,63 	0,70 	0,66 	0,61 	0,63 	0,59 	0,99 	0,92 	0,89 	0,82 	PLASMA MEMBRANE INTRINSIC PROTEIN 1C (PIP1C)	a member of the plasma membrane intrinsic protein subfamily PIP1. localizes to the plasma membrane and exhibits water transport activity in Xenopus oocyte. expressed ubiquitously and protein level decreases slightly during leaf development.
AT1G01710.1	1950	3,23	2	1,39 	0,07 	1,28 	0,18 	0,92 	0,12 	1,25 	1,29 	1,47 	1,53 	1,45 	0,91 	1,71 	1,08 	1,16 	0,73 	1,11 	0,70 		"Acyl-CoA thioesterase family protein; FUNCTIONS IN: cyclic nucleotide binding, acyl-CoA thioesterase activity; INVOLVED IN: acyl-CoA metabolic process; LOCATED IN: peroxisome; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Cyclic nucleotide-binding (InterPro:IPR000595), Cyclic nucleotide-binding-like (InterPro:IPR018490), Acyl-CoA thioesterase (InterPro:IPR003703), RmlC-like jelly roll fold (InterPro:IPR014710); BEST Arabidopsis thaliana protein match is: Acyl-CoA thioesterase family protein (TAIR:AT4G00520.2); Has 3628 Blast hits to 3595 proteins in 999 species: Archae - 0; Bacteria - 1940; Metazoa - 444; Fungi - 348; Plants - 71; Viruses - 0; Other Eukaryotes - 825 (source: NCBI BLink)."
AT1G01790.1	262	25,9	12	0,89 	0,15 	0,95 	0,15 	1,15 	0,29 	0,64 	1,18 	0,63 	1,11 	0,72 	1,24 	0,67 	1,16 	1,10 	1,94 	0,55 	1,02 	K+ EFFLUX ANTIPORTER 1 (KEA1)	K efflux antiporter KEA1
AT1G01800.1	848	10,74	6	0,85 	0,11 	0,87 	0,06 	1,05 	0,13 	0,90 	0,62 	1,14 	0,74 	0,75 	0,77 	0,95 	0,98 	0,81 	0,86 	1,25 	1,29 		"NAD(P)-binding Rossmann-fold superfamily protein; FUNCTIONS IN: oxidoreductase activity, binding, catalytic activity; INVOLVED IN: oxidation reduction, metabolic process; LOCATED IN: plant-type cell wall; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: NAD(P)-binding domain (InterPro:IPR016040), Glucose/ribitol dehydrogenase (InterPro:IPR002347), Short-chain dehydrogenase/reductase SDR (InterPro:IPR002198); BEST Arabidopsis thaliana protein match is: NAD(P)-binding Rossmann-fold superfamily protein (TAIR:AT3G61220.1); Has 66869 Blast hits to 66825 proteins in 3161 species: Archae - 673; Bacteria - 45998; Metazoa - 3911; Fungi - 3425; Plants - 2362; Viruses - 0; Other Eukaryotes - 10500 (source: NCBI BLink)."
AT1G01960.1	1277	6,39	3	1,02 	0,08 	1,00 	0,05 	0,97 	0,06 	0,84 	1,03 	1,00 	1,22 	0,89 	0,93 	1,07 	1,11 	1,05 	1,10 	0,86 	0,90 	EMBRYO SAC DEVELOPMENT ARREST 10 (EDA10)	"embryo sac development arrest 10 (EDA10); FUNCTIONS IN: binding, ARF guanyl-nucleotide exchange factor activity, guanyl-nucleotide exchange factor activity; INVOLVED IN: megagametogenesis; LOCATED IN: cytosol, nucleus; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: SEC7-like (InterPro:IPR000904), Armadillo-type fold (InterPro:IPR016024), Protein of unknown function DUF1981, SEC7 associated (InterPro:IPR015403); BEST Arabidopsis thaliana protein match is: SEC7-like guanine nucleotide exchange family protein (TAIR:AT3G60860.1); Has 2904 Blast hits to 2648 proteins in 246 species: Archae - 0; Bacteria - 34; Metazoa - 1480; Fungi - 646; Plants - 300; Viruses - 0; Other Eukaryotes - 444 (source: NCBI BLink)."
AT1G02080.2	1626	4,44	4	0,81 	0,10 	1,14 	0,13 	1,44 	0,19 	1,06 	0,74 	0,84 	0,60 	1,47 	1,07 	1,18 	0,86 	1,39 	1,01 	1,92 	1,42 		"transcription regulators; FUNCTIONS IN: transcription regulator activity; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: CCR4-Not complex component, Not1 (InterPro:IPR007196)."
