	2 folds for RNA / 1.5 folds for protein up-regulated															
	1.5folds for RNA / 1.33 folds for protein up-regulated															
	1.2 folds for protein up-regulated															
	2 folds for RNA / 1.5 folds for protein down-regulated															
	1.5folds for RNA / 1.33 folds for protein down-regulated															
	1.2 folds for protein down-regulated															
Additional file 3. Transcriptional and translational profiles of mitochondrion-encoded genes																
									Average	SE	Average	SE	Average	SE		
GeneID	T0 (RPKM)	T1 (RPKM)	T8 (RPKM)	T1:T0 (FC)	T8:T0 (FC)	T8:T1 (FC)	Unused	Peptides(95%)	T1:T0 	T1:T0	T8:T1 	T8:T1	T8:T0 	T8:T0	Proteins	Gene Model Description
ATMG00010.1	3 	6 	3 	1,87 	1,01 	0,54 	2,7 	1	1,06 	0,10 	1,00 	0,02 	1,07 	0,10 	orf153a	Hypothetical protein
ATMG00020.1	28 	39 	39 	1,38 	1,38 	1,00 	-	-	-	-	-	-	-	-	RRN26	Mitochondrial 26S ribosomal RNA protein
ATMG00030.1	18 	36 	29 	1,98 	1,59 	0,80 	-	-	-	-	-	-	-	-	orf107a	Hypothetical protein
ATMG00040.1	5 	8 	4 	1,56 	0,81 	0,52 	-	-	-	-	-	-	-	-	orf315	Hypothetical protein
ATMG00050.1	0 	0 	0 	0,51 	0,58 	1,14 	-	-	-	-	-	-	-	-	orf131	Hypothetical protein
ATMG00060.1	339 	399 	398 	1,18 	1,18 	1,00 	-	-	-	-	-	-	-	-	nad5c	Mitochondrial NADH dehydrogenase subunit 5. The gene is trans-spliced from the three different pre-cursors, NAD5a, NAD5b and NAD5c.
ATMG00070.1	185 	208 	236 	1,12 	1,28 	1,14 	3,2 	2	1,15 	0,17 	1,14 	0,12 	1,30 	0,19 	nad9	NADH dehydrogenase subunit 9
ATMG00080.1	111 	158 	169 	1,42 	1,52 	1,07 	-	-	-	-	-	-	-	-	rpl16	Encodes a mitochondrial ribosomal protein L16, which is a constituent of the large ribosomal subunit
ATMG00090.1	118 	156 	172 	1,32 	1,45 	1,10 	4,0 	1	0,94 	0,05 	1,18 	0,05 	1,13 	0,05 	rps3	Ribosomal protein S3
ATMG00110.1	23 	29 	35 	1,23 	1,51 	1,23 	-	-	-	-	-	-	-	-	ccb206	Encodes a mitochondria-encoded cytochrome c biogenesis protein.
ATMG00120.1	2 	3 	2 	1,92 	1,16 	0,60 	-	-	-	-	-	-	-	-	orf143	Hypothetical protein
ATMG00130.1	7 	6 	7 	0,95 	0,99 	1,04 	-	-	-	-	-	-	-	-	orf121a	Hypothetical protein
ATMG00140.1	5 	9 	8 	1,78 	1,58 	0,88 	-	-	-	-	-	-	-	-	orf167	Hypothetical protein
ATMG00150.1	3 	2 	4 	0,61 	1,20 	1,96 	2,3 	1	0,47 	0,17 	3,03 	1,05 	0,97 	0,03 	orf116	Hypothetical protein
ATMG00160.1	468 	494 	531 	1,06 	1,14 	1,08 	4,3 	3	0,81 	0,10 	1,33 	0,24 	1,07 	0,15 	cox2	Cytochrome c oxidase subunit 2
ATMG00170.1	16 	29 	27 	1,83 	1,66 	0,90 	-	-	-	-	-	-	-	-	orf139a	Hypothetical protein
ATMG00180.1	122 	164 	146 	1,34 	1,19 	0,89 	3,7 	2	1,04 	0,03 	0,90 	0,04 	0,94 	0,04 	ccb452	Cytochrome c biogenesis orf452
ATMG00200.1	15 	25 	22 	1,61 	1,46 	0,91 	2,4 	2	3,92 	1,40 	0,94 	0,17 	3,51 	1,35 	orf107b	Hypothetical protein
ATMG00210.1	215 	288 	331 	1,34 	1,54 	1,15 	-	-	-	-	-	-	-	-	rpl5	Encodes a mitochondrial ribosomal protein L5, a constituent of the large subunit of the ribosomal complex
ATMG00220.1	561 	628 	587 	1,12 	1,05 	0,93 	4,3 	4	0,78 	0,23 	1,26 	0,34 	0,78 	0,08 	cob	Mitochondrial apocytochrome b (cob) gene encodes a subunit of the ubiquinol-cytochrome c oxidoreductase and is part of a 5 kb transcript. The transcript also contains a pseudogene for ribosomal protein S14 called RPS15 and a tRNA(Ser) gene. Both the Cob and RPS15 genes are edited in the transcript.
ATMG00240.1	1 	2 	1 	1,32 	1,04 	0,79 	-	-	-	-	-	-	-	-	orf111a	Hypothetical protein
ATMG00260.1	6 	5 	6 	0,80 	0,94 	1,17 	-	-	-	-	-	-	-	-	orf101a	Hypothetical protein
ATMG00270.1	497 	544 	654 	1,09 	1,31 	1,20 	-	-	-	-	-	-	-	-	nad6	NADH dehydrogenase subunit 6
ATMG00280.1	101130 	106930 	129420 	1,06 	1,28 	1,21 	20,8 	29	0,75 	0,10 	1,63 	0,21 	1,19 	0,08 	orf110a	Hypothetical protein
ATMG00285.1	157 	175 	170 	1,11 	1,08 	0,97 	-	-	-	-	-	-	-	-	nad2a	Encodes subunit of mitochondrial NAD(P)H dehydrogenase that is trans-spliced from two precursors, NAD2A and NAD2B.
ATMG00290.1	55 	71 	78 	1,29 	1,42 	1,10 	3,4 	2	0,72 	0,03 	0,76 	0,20 	0,54 	0,15 	rps4	Encodes a mitochondrial ribosomal protein S4, a constituent of the small subunit of the ribosomal complex
ATMG00300.1	7 	14 	12 	1,93 	1,67 	0,86 	-	-	-	-	-	-	-	-	orf145a	Hypothetical protein
ATMG00310.1	5 	5 	4 	1,12 	0,87 	0,77 	-	-	-	-	-	-	-	-	orf154	Hypothetical protein
ATMG00320.1	1 	2 	2 	2,34 	1,50 	0,64 	-	-	-	-	-	-	-	-	orf127	Hypothetical protein
ATMG00360.1	12 	11 	13 	0,90 	1,12 	1,25 	-	-	-	-	-	-	-	-	TRNC	A mitochondrion-encoded tRNA for cysteine
ATMG00370.1	961 	686 	727 	0,71 	0,76 	1,06 	-	-	-	-	-	-	-	-	orf199	Hypothetical protein
ATMG00400.1	33 	50 	50 	1,49 	1,50 	1,00 	2,8 	1	1,16 	0,08 	1,00 	0,08 	1,15 	0,05 	orf157	Hypothetical protein
ATMG00410.1	343 	403 	431 	1,18 	1,26 	1,07 	-	-	-	-	-	-	-	-	atp6-1	ATPase subunit 6
ATMG00430.1	5 	7 	7 	1,28 	1,37 	1,08 	-	-	-	-	-	-	-	-	orf106a	Hypothetical protein
ATMG00440.1	4 	6 	7 	1,43 	1,75 	1,22 	-	-	-	-	-	-	-	-	orf152a	Hypothetical protein
